ASIN,Marketplace,BB_avg,Weight_kg,C,AF,FC,SC,S,Qmin,Qmax_our,Q_seller10,Q_seller30,Q_seller40,Q,ROI_seller_pct,ROI_us_pct,Margin_abs,Margin_pct,Feasible,Reason
0076697940,UK,89.99,3.92,39.11,15.30,4.50,0.50,20.30,43.02,46.93,61.51,48.92,43.98,46.93,33.85,20.00,7.82,19.99,Yes,
B09KQJNLP2,US,84.72,3.44,31.91,14.40,6.25,7.80,28.45,35.10,38.29,48.57,36.72,32.06,38.29,26.93,20.00,6.38,19.99,Yes,
B0FCFLLM8L,US,62.81,0.50,20.23,10.68,4.25,7.80,22.73,22.25,24.28,34.37,25.59,22.14,24.28,33.63,20.00,4.05,20.02,Yes,
B0B3DB4Q75,US,197.84,7.83,80.01,33.63,7.75,7.80,49.18,88.01,96.01,130.67,103.00,92.13,96.01,36.26,20.00,16.00,20.00,Yes,
9766704961,US,54.29,0.15,20.23,9.23,4.25,7.80,21.28,22.25,24.28,28.08,20.48,17.50,22.25,24.71,10.00,2.02,9.99,Yes,
9766704961,UK,39.93,0.15,20.23,6.79,3.00,0.50,10.29,22.25,24.28,26.01,20.43,18.23,22.25,22.71,10.00,2.02,9.99,Yes,
1529032172,UK,8.13,0.49,1.12,1.38,3.00,0.50,4.88,1.23,1.34,2.51,1.37,0.93,1.34,30.58,20.00,0.22,19.64,Yes,
143914995X,UK,6.79,0.20,0.75,1.15,3.00,0.50,4.65,0.83,0.90,1.52,0.57,0.20,0.83,23.92,10.00,0.08,10.67,Yes,
0114850003,UK,32.99,2.40,16.13,5.61,4.50,0.50,10.61,17.74,19.36,19.38,14.77,12.96,17.74,16.36,10.00,1.61,9.98,Yes,
9124191604,UK,18.99,1.27,8.29,3.23,3.50,0.50,7.23,9.12,9.95,10.04,7.38,6.34,9.12,16.17,10.00,0.83,10.01,Yes,
409537263X,UK,14.57,1.76,6.61,2.48,3.50,0.50,6.48,7.27,7.93,6.77,4.73,3.93,7.27,5.98,10.00,0.66,9.98,No,No deal: seller ROI <10% even at our 10% floor.
2067955810,US,43.47,2.40,16.13,7.39,6.25,7.80,21.44,17.74,19.36,18.08,12.00,9.61,17.74,10.94,10.00,1.61,9.98,Yes,
B0B5N1DCJ2,US,38.47,1.43,8.29,6.54,4.95,7.80,19.29,9.12,9.95,15.68,10.30,8.19,9.95,31.58,20.00,1.66,20.02,Yes,
163799897X,US,219.95,8.80,88.10,37.39,8.90,7.80,54.09,96.91,105.72,145.86,115.10,103.02,105.72,37.63,20.00,17.62,20.00,Yes,
9123760915,US,52.18,2.02,20.23,8.87,6.25,7.80,22.92,22.25,24.28,24.52,17.22,14.35,22.25,15.51,10.00,2.02,9.99,Yes,
912434981X,US,57.19,2.00,20.23,9.72,4.95,7.80,22.47,22.25,24.28,29.52,21.52,18.38,22.25,27.87,10.00,2.02,9.99,Yes,
1637995059,US,55.95,1.98,20.23,9.51,4.95,7.80,22.26,22.25,24.28,28.60,20.78,17.70,22.25,25.69,10.00,2.02,9.99,Yes,
B09B8C4W3L,US,79.41,4.08,40.46,13.50,6.25,7.80,27.55,44.51,48.55,44.64,33.53,29.17,44.51,10.21,10.00,4.05,10.01,Yes,
9124350893,US,100.99,3.99,39.11,17.17,6.25,7.80,31.22,43.02,46.93,60.59,46.47,40.92,46.93,29.23,20.00,7.82,19.99,Yes,
5103973863,UK,27.96,3.22,14.00,4.75,4.50,0.50,9.75,15.40,16.80,15.66,11.75,10.22,15.40,11.16,10.00,1.40,10.00,Yes,
B0CLF3H95P,US,52.63,2.09,17.98,8.95,6.25,7.80,23.00,19.78,21.58,24.85,17.49,14.60,19.78,23.04,10.00,1.80,10.01,Yes,
163799673X,US,107.46,3.64,38.21,18.27,6.25,7.80,32.32,42.03,45.85,65.37,50.34,44.44,45.85,37.47,20.00,7.64,19.99,Yes,
B07XLKMWZT,US,127.66,5.27,52.59,21.70,7.75,7.80,37.25,57.85,63.11,78.80,60.95,53.93,63.11,27.20,20.00,10.52,20.00,Yes,
1546103597,US,196.60,8.14,76.41,33.42,8.57,7.80,49.79,84.05,91.69,128.94,101.44,90.64,91.69,38.96,20.00,15.28,20.00,Yes,
1529032172,US,15.62,0.49,1.12,2.66,4.25,7.80,14.71,1.23,1.34,-0.51,-2.69,-3.55,1.23,-1.99,10.00,0.11,9.82,No,No deal: seller ROI <10% even at our 10% floor.
143914995X,US,9.08,0.20,0.75,1.54,4.25,7.80,13.59,0.83,0.90,-5.34,-6.61,-7.11,0.83,-37.03,10.00,0.08,10.67,No,No deal: seller ROI <10% even at our 10% floor.
9124231983,US,54.99,2.71,16.81,9.35,6.25,7.80,23.40,18.49,20.17,26.59,18.90,15.88,20.17,26.21,20.00,3.36,19.99,Yes,
9124357294,US,33.99,1.00,6.61,5.78,4.25,7.80,17.83,7.27,7.93,13.07,8.32,6.45,7.93,31.95,20.00,1.32,19.97,Yes,
9124221546,US,39.99,1.41,10.31,6.80,4.95,7.80,19.55,11.34,12.37,16.81,11.21,9.02,11.34,29.46,10.00,1.03,9.99,Yes,
B0F38CZDDF,US,55.60,3.21,21.08,9.45,6.25,7.80,23.50,23.19,25.30,27.04,19.27,16.21,23.19,19.08,10.00,2.11,10.01,Yes,
912424788X,UK,41.80,1.87,20.23,7.11,3.50,0.50,11.11,22.25,24.28,26.89,21.05,18.75,22.25,25.30,10.00,2.02,9.99,Yes,
9124233684,UK,36.99,1.98,20.23,6.29,3.50,0.50,10.29,22.25,24.28,23.34,18.17,16.13,22.25,13.67,10.00,2.02,9.99,Yes,
B0B2V9GK32,UK,93.14,3.92,40.46,15.83,4.50,0.50,20.83,44.51,48.55,63.84,50.81,45.69,48.55,34.23,20.00,8.09,20.00,Yes,
9124229466,UK,33.37,2.73,16.81,5.67,4.50,0.50,10.67,18.49,20.17,19.66,15.00,13.16,18.49,14.42,10.00,1.68,9.99,Yes,
9124086843,UK,25.82,3.22,10.96,4.39,4.50,0.50,9.39,12.06,13.15,14.08,10.47,9.05,12.06,20.40,10.00,1.10,10.04,Yes,
9123464127,UK,20.13,1.43,10.31,3.42,3.50,0.50,7.42,11.34,12.37,10.88,8.06,6.96,11.34,7.29,10.00,1.03,9.99,No,No deal: seller ROI <10% even at our 10% floor.
070234236X,UK,37.03,3.31,21.08,6.30,4.50,0.50,11.30,23.19,25.30,22.37,17.19,15.15,23.19,7.39,10.00,2.11,10.01,No,No deal: seller ROI <10% even at our 10% floor.
4027876040,UK,32.99,2.43,16.45,5.61,4.50,0.50,10.61,18.10,19.74,19.38,14.77,12.96,18.10,14.93,10.00,1.65,10.03,Yes,
