ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Qmin,Qmax_20,Qmax_15,Qmax_10,r_used,Quote_Q,Seller_ROI_%,Our_ROI_%,Margin_abs,Margin_%,Feasible,Reason
0076697940,Jujutsu Kaisen Series 10 Books Collection Manga Se,UK,1.77808064,79.9635,39.11,0.1,1.3,13.59,3.5,0.5,17.59,43.021,49.05,51.94,55.1,0.2,49.05,19.99,25.42,9.94,25.42,True,
0076697940,Jujutsu Kaisen Series 10 Books Collection Manga Set (Vol. 11-20),US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
0114850003,"Gold Rush Ranch Series 4 Books Collection Set By Elsie Silver (Off to the Races, A Photo Finish, The Front Runner & A False Start)",UK,,,,,,,,,,,,,,,,,,,,False,No buy box data available
0114850003,"Gold Rush Ranch Series 4 Books Collection Set By Elsie Silver (Off to the Races, A Photo Finish, The Front Runner & A False Start)",US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
070234236X,The Deluxe Hunger Games Collection (a stunningly designed - with patterned edge! - 4 book set of the global bestselling series) (The Hunger Games),UK,,,,,,,,,,,,,,,,,,,,False,No buy box data available
070234236X,The Deluxe Hunger Games Collection (a stunningly designed - with patterned edge! - 4 book set of the global bestselling series) (The Hunger Games),US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
143914995X,Lessons of History,UK,0.0907184,7.575,0.75,0.1,1.3,1.29,3.0,0.5,4.79,0.825,1.52,1.8,2.1,0.2,1.52,20.05,102.67,0.77,102.67,True,
143914995X,Lessons of History,US,0.0907184,10.503333333333334,0.75,0.1,1.3,1.79,4.25,7.8,13.84,0.825,-5.09,-4.71,-4.29,,0.825,-28.38,10.0,0.075,10.0,False,"No feasible quote. Even at 10% seller ROI, Qmax(10%)=-4.29 < Qmin=0.825. Our cost floor is too high relative to market price."
143914995X,The Lessons of History,UK,0.0907184,7.575,0.75,0.1,1.3,1.29,3.0,0.5,4.79,0.825,1.52,1.8,2.1,0.2,1.52,20.05,102.67,0.77,102.67,True,
143914995X,The Lessons of History,US,0.0907184,10.503333333333334,0.75,0.1,1.3,1.79,4.25,7.8,13.84,0.825,-5.09,-4.71,-4.29,,0.825,-28.38,10.0,0.075,10.0,False,"No feasible quote. Even at 10% seller ROI, Qmax(10%)=-4.29 < Qmin=0.825. Our cost floor is too high relative to market price."
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",UK,0.22226008,8.86,1.12,0.1,1.3,1.51,3.0,0.5,5.01,1.232,2.37,2.69,3.04,0.2,2.37,20.05,111.61,1.25,111.61,True,
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",US,0.22226008,11.728333333333333,1.12,0.1,1.3,1.99,4.25,7.8,14.04,1.232,-4.27,-3.84,-3.38,,1.232,-23.2,10.0,0.112,10.0,False,"No feasible quote. Even at 10% seller ROI, Qmax(10%)=-3.38 < Qmin=1.232. Our cost floor is too high relative to market price."
1546103597,"One Piece Series (Volumes 91-109) Manga Set, by Eiichiro Oda (19 Books)",UK,,,,,,,,,,,,,,,,,,,,False,No buy box data available
1546103597,"One Piece Series (Volumes 91-109) Manga Set, by Eiichiro Oda (19 Books)",US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
1637995059,The Jujutsu Kaisen Series. 5 Books Collection Set. Vol. 19-Vol. 23 by Gege Akutami,UK,,,,,,,,,,,,,,,,,,,,False,No buy box data available
1637995059,The Jujutsu Kaisen Series. 5 Books Collection Set. Vol. 19-Vol. 23 by Gege Akutami,US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
163799673X,"My Hero Academia, Vol. 31-40, Collection 10 Books Set, by Kohei Horikoshi",UK,,,,,,,,,,,,,,,,,,,,False,No buy box data available
163799673X,"My Hero Academia, Vol. 31-40, Collection 10 Books Set, by Kohei Horikoshi",US,,,,,,,,,,,,,,,,,,,,False,No buy box data available
