ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Qmin,Qmax_20,Qmax_15,Qmax_10,r_used,Quote_Q,Seller_ROI_%,Our_ROI_%,Margin_abs,Margin_%,Feasible,Reason
0076697940,Jujutsu Kaisen Series 10 Books Collection Manga Se,UK,1.77808064,89.99,39.11,0.0,1.3,15.3,3.5,0.5,19.3,39.11,55.69,58.95,62.51,0.2,55.69,20.0,42.39,16.58,42.39,True,
0114850003,Gold Rush Ranch Series 4 Books Collection Set By E,UK,1.0886208,32.99,16.13,0.0,1.3,5.61,3.5,0.5,9.61,16.13,17.88,19.08,20.38,0.2,17.88,20.01,10.85,1.75,10.85,True,
070234236X,The Deluxe Hunger Games Collection (a stunningly d,UK,1.50138952,37.02870967741936,21.08,0.0,1.3,6.29,3.5,0.5,10.29,21.08,20.57,21.91,23.37,0.15,21.91,15.0,3.94,0.83,3.94,True,
143914995X,Lessons of History,UK,0.0907184,6.730322580645161,0.75,0.0,1.3,1.14,3.0,0.5,4.64,0.75,0.97,1.21,1.48,0.2,0.97,19.97,29.33,0.22,29.33,True,
143914995X,The Lessons of History,US,0.0907184,9.066774193548387,0.75,0.0,1.3,1.54,4.25,7.8,13.59,0.75,-6.03,-5.71,-5.35,,0.75,-36.77,0.0,0.0,0.0,False,"No feasible quote. Even at 10% seller ROI, Qmax(10%)=-5.35 < Qmin=0.75. Our cost floor is too high relative to market price."
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",UK,0.22226008,8.133666666666667,1.12,0.0,1.3,1.38,3.0,0.5,4.88,1.12,1.9,2.19,2.51,0.2,1.9,19.97,69.64,0.78,69.64,True,
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",US,0.22226008,15.635483870967741,1.12,0.0,1.3,2.66,4.25,7.8,14.71,1.12,-1.68,-1.11,-0.5,,1.12,-1.23,0.0,0.0,0.0,False,"No feasible quote. Even at 10% seller ROI, Qmax(10%)=-0.50 < Qmin=1.12. Our cost floor is too high relative to market price."
1546103597,"One Piece Series (Volumes 91-109) Manga Set, by Ei",US,3.69223888,196.68032258064517,76.41,0.0,1.3,33.44,6.25,7.8,47.49,76.41,116.41,123.54,131.31,0.2,116.41,20.0,52.35,40.0,52.35,True,
1637995059,The Jujutsu Kaisen Series. 5 Books Collection Set.,US,0.89811216,55.95,20.23,0.0,1.3,9.51,4.25,7.8,21.56,20.23,25.07,27.09,29.3,0.2,25.07,19.99,23.92,4.84,23.92,True,
163799673X,"My Hero Academia, Vol. 31-40, Collection 10 Books ",US,1.65107488,107.4416129032258,38.21,0.0,1.3,18.27,4.95,7.8,31.02,38.21,58.51,62.41,66.65,0.2,58.51,20.01,53.13,20.3,53.13,True,
