ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Q_balanced,ROI_seller_pct,ROI_us_pct,Margin_abs,Margin_pct,Feasible,Reason
0076697940,Jujutsu Kaisen Series 10 Books Collection Manga Se,UK,1.77808064,89.99,39.11,0.0,1.3,15.3,3.5,0.5,19.3,47.36,35.0,21.09,8.25,21.09,True,
0114850003,Gold Rush Ranch Series 4 Books Collection Set By E,UK,1.0886208,32.99,16.13,0.0,1.3,5.61,3.5,0.5,9.61,18.47,17.5,14.49,2.34,14.49,True,
070234236X,The Deluxe Hunger Games Collection (a stunningly d,UK,1.50138952,37.02870967741936,21.08,0.0,1.3,6.29,3.5,0.5,10.29,21.08,0.0,0.0,0.0,0.0,False,No feasible quote. No seller ROI tier can achieve our minimum 10% ROI. Our cost floor is too high relative to market price.
143914995X,Lessons of History,UK,0.0907184,6.730322580645161,0.75,0.0,1.3,1.14,3.0,0.5,4.64,0.94,20.67,25.0,0.19,25.0,True,
143914995X,The Lessons of History,US,0.0907184,9.066774193548387,0.75,0.0,1.3,1.54,4.25,7.8,13.59,0.75,0.0,0.0,0.0,0.0,False,No feasible quote. No seller ROI tier can achieve our minimum 10% ROI. Our cost floor is too high relative to market price.
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",UK,0.22226008,8.133666666666667,1.12,0.0,1.3,1.38,3.0,0.5,4.88,1.4,29.52,25.0,0.28,25.0,True,
1529032172,"Attached: Are you Anxious, Avoidant or Secure? How",US,0.22226008,15.635483870967741,1.12,0.0,1.3,2.66,4.25,7.8,14.71,1.12,0.0,0.0,0.0,0.0,False,No feasible quote. No seller ROI tier can achieve our minimum 10% ROI. Our cost floor is too high relative to market price.
1546103597,"One Piece Series (Volumes 91-109) Manga Set, by Ei",US,3.69223888,196.68032258064517,76.41,0.0,1.3,33.44,6.25,7.8,47.49,95.51,37.54,25.0,19.1,25.0,True,
1637995059,The Jujutsu Kaisen Series. 5 Books Collection Set.,US,0.89811216,55.95,20.23,0.0,1.3,9.51,4.25,7.8,21.56,23.2,25.0,14.68,2.97,14.68,True,
163799673X,"My Hero Academia, Vol. 31-40, Collection 10 Books ",US,1.65107488,107.4416129032258,38.21,0.0,1.3,18.27,4.95,7.8,31.02,47.76,36.38,25.0,9.55,25.0,True,
163799897X,"Dragon Ball Super Series Vol 1-22, 22 Books Collec",US,3.9916096,219.95,88.1,0.0,1.3,37.39,6.25,7.8,51.44,110.13,36.14,25.0,22.03,25.0,True,
2067955810,Gold Rush Ranch Series 4 Books Collection Set By E,US,1.0886208,43.64419354838709,16.13,0.0,1.3,7.42,4.95,7.8,20.17,18.62,12.5,15.47,2.49,15.47,True,
4027876040,Wings of Fire Series Book 5-8 By Tui T. Sutherland,UK,1.10222856,32.99,16.45,0.0,1.3,5.61,3.5,0.5,9.61,18.47,17.5,12.26,2.02,12.26,True,
409537263X,Dragon Force Series 2 Books Collection Set (Infini,UK,0.79832192,15.5,6.61,0.0,1.3,2.64,3.0,0.5,6.14,7.64,12.5,15.55,1.03,15.55,True,
5103973863,The Bad Guys 5 Books Collection Set By Aaron Blabe,UK,1.46056624,27.96,14.0,0.0,1.3,4.75,3.5,0.5,8.75,16.1,12.5,15.02,2.1,15.02,True,
9123464127,City of Ghosts Series Collection 3 Books Set By Vi,UK,0.64863656,20.209473684210526,10.31,0.0,1.3,3.44,3.0,0.5,6.94,10.31,0.0,0.0,0.0,0.0,False,No feasible quote. No seller ROI tier can achieve our minimum 10% ROI. Our cost floor is too high relative to market price.
9123760915,Dragon Ball Super Series 1 To 5 Books Collection S,US,0.91625584,52.14258064516129,20.23,0.0,1.3,8.86,4.25,7.8,20.91,23.47,17.5,16.0,3.24,16.0,True,
9124086843,Hunger Games Trilogy Series 3 Books Collection Set,UK,1.46056624,25.859642857142855,10.96,0.0,1.3,4.4,3.5,0.5,8.4,12.29,25.0,12.11,1.33,12.11,True,
9124191604,"Colleen Hoover Collection 2 Books Set (Hopeless, L",UK,0.57606184,18.99,8.29,0.0,1.3,3.23,3.0,0.5,6.73,9.43,17.5,13.77,1.14,13.77,True,
9124221546,City of Ghosts Series 3 Books Collection Set By Vi,US,0.63956472,39.99,10.31,0.0,1.3,6.8,4.25,7.8,18.85,12.89,26.0,25.0,2.58,25.0,True,
9124229466,Jessie Inchauspe Collection 2 Books Set (Glucose R,UK,1.23830616,33.37,16.81,0.0,1.3,5.67,3.5,0.5,9.67,18.73,17.5,11.42,1.92,11.42,True,
9124231983,Jessie Inchauspe 2 Books Collection Set (Glucose G,US,1.22923432,54.986774193548385,16.81,0.0,1.3,9.35,4.95,7.8,22.1,18.63,35.0,10.83,1.82,10.83,True,
9124233684,Dragon Ball Super Series Vol 1-5 Books Collection ,UK,0.89811216,36.99,20.23,0.0,1.3,6.29,3.0,0.5,9.79,23.09,12.5,14.14,2.86,14.14,True,
912424788X,Demon Slayer Kimetsu Academy Volume 1-5 Books Coll,UK,0.84821704,43.70428571428572,20.23,0.0,1.3,7.43,3.0,0.5,10.93,24.03,25.0,18.8,3.8,18.8,True,
912434981X,Jujutsu Kaisen Series Vol (16-20) Collection 5 Boo,US,0.907184,57.18096774193548,20.23,0.0,1.3,9.72,4.25,7.8,21.77,23.97,25.0,18.51,3.74,18.51,True,
9124350893,Jujutsu Kaisen Series (Vol. 11-20) Collection 10 B,US,1.80983208,100.99,39.11,0.0,1.3,17.17,4.95,7.8,29.92,44.89,35.0,14.77,5.78,14.77,True,
9124357294,Dragon Force Series 2 Books Collection Set (Infini,US,0.453592,33.99,6.61,0.0,1.3,5.78,4.25,7.8,17.83,7.35,35.0,11.16,0.74,11.16,True,
9766704961,One-Punch Man Volume Collection 1-5 5 Books Bundle,UK,0.0680388,40.138214285714284,20.23,0.0,1.3,6.82,3.0,0.5,10.32,23.84,17.5,17.85,3.61,17.85,True,
